6.4843,2019-11-05 11:42:31
6.4826,2019-11-05 11:46:31
6.4799,2019-11-05 12:23:48
6.4801,2019-11-05 13:05:47
6.4804,2019-11-05 13:08:40
6.4795,2019-11-05 13:15:15
6.4792,2019-11-05 13:27:04
6.4775,2019-11-05 13:32:15
6.4786,2019-11-05 13:34:58
6.4784,2019-11-05 13:37:43
6.4752,2019-11-05 14:37:15
6.4736,2019-11-05 14:44:05
6.4715,2019-11-05 14:50:25
6.4701,2019-11-05 14:57:03
6.4714,2019-11-05 15:00:09
6.4694,2019-11-05 15:02:04
6.4705,2019-11-05 15:05:19
6.4712,2019-11-05 15:06:42
6.4727,2019-11-05 15:07:23
6.4738,2019-11-05 15:09:08
6.4721,2019-11-05 15:11:17
6.4697,2019-11-05 15:14:53
6.4552,2019-11-05 21:32:46
6.4404,2019-11-06 12:15:28
6.4541,2019-11-11 16:21:35
6.4623,2019-11-27 19:30:48
